ID NO,Season,City,Date,Team 1,Team 2,Toss_Winner,Toss_Decision,Result,DL_Applied,Winner,Win_by_Runs,Win_by_Wickets,Player_of_Match,Venue,Umpire 1,Umpire 2,Umpire 3
481,2014,Bangalore,5/4/2014,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,To Field,Normal,0,Royal Challengers Bangalore,0,4,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,VA Kulkarni,Not Avaliable
482,2014,Ahmedabad,5/5/2014,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,To Field,Normal,0,Rajasthan Royals,10,0,PV Tambe,"Sardar Patel Stadium, Motera",NJ Llong,CK Nandan,Not Avaliable
483,2014,Delhi,5/5/2014,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,To Field,Normal,0,Chennai Super Kings,0,8,DR Smith,Feroz Shah Kotla,RM Deshpande,BNJ Oxenford,Not Avaliable
484,2014,Mumbai,5/6/2014,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,To Field,Normal,0,Mumbai Indians,19,0,Rohit Sharma,Wankhede Stadium,S Ravi,K Srinath,Not Avaliable
485,2014,Delhi,5/7/2014,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,To Bat,Normal,0,Kolkata Knight Riders,0,8,Goutam Gambhir,Feroz Shah Kotla,BNJ Oxenford,C Shamshuddin,Not Avaliable
486,2014,Cuttack,5/7/2014,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,To Field,Normal,0,Kings XI Punjab,44,0,GJ Maxwell,Barabati Stadium,HDPK Dharmasena,PG Pathak,Not Avaliable
487,2014,Ahmedabad,5/8/2014,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,To Field,Normal,0,Sunrisers Hyderabad,32,0,B Kumar,"Sardar Patel Stadium, Motera",AK Chaudhary,NJ Llong,Not Avaliable
488,2014,Bangalore,5/9/2014,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,To Field,Normal,0,Kings XI Punjab,32,0,Sandeep Sharma,M Chinnaswamy Stadium,S Ravi,K Srinath,Not Avaliable
489,2014,Delhi,5/10/2014,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,To Field,Normal,1,Sunrisers Hyderabad,0,8,DW Steyn,Feroz Shah Kotla,RM Deshpande,BNJ Oxenford,Not Avaliable
490,2014,Mumbai,5/10/2014,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,To Field,Normal,0,Chennai Super Kings,0,4,DR Smith,Wankhede Stadium,HDPK Dharmasena,VA Kulkarni,Not Avaliable
491,2014,Cuttack,5/11/2014,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,To Field,Normal,0,Kolkata Knight Riders,0,9,Goutam Gambhir,Barabati Stadium,NJ Llong,CK Nandan,Not Avaliable
492,2014,Bangalore,5/11/2014,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,To Bat,Normal,0,Rajasthan Royals,0,5,JP Faulkner,M Chinnaswamy Stadium,S Ravi,RJ Tucker,Not Avaliable
493,2014,Hyderabad,5/12/2014,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,To Bat,Normal,0,Mumbai Indians,0,7,AT Rayudu,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,VA Kulkarni,Not Avaliable
494,2014,Ranchi,5/13/2014,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,To Bat,Normal,0,Chennai Super Kings,0,5,RA Jadeja,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,Not Avaliable
495,2014,Bangalore,5/13/2014,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,To Field,Normal,0,Royal Challengers Bangalore,16,0,Yuvraj Singh,M Chinnaswamy Stadium,K Srinath,RJ Tucker,Not Avaliable
496,2014,Hyderabad,5/14/2014,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,To Field,Normal,0,Kings XI Punjab,0,6,WP Saha,"Rajiv Gandhi International Stadium, Uppal",VA Kulkarni,PG Pathak,Not Avaliable
497,2014,Cuttack,5/14/2014,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,To Field,Normal,0,Kolkata Knight Riders,0,6,RV Uthappa,Barabati Stadium,AK Chaudhary,NJ Llong,Not Avaliable
498,2014,Ahmedabad,5/15/2014,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,To Field,Normal,0,Rajasthan Royals,62,0,Ajinkya Rahane,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker,Not Avaliable
499,2014,Ranchi,5/18/2014,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,To Bat,Normal,0,Royal Challengers Bangalore,0,5,AB de Villiers,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,Not Avaliable
500,2014,Hyderabad,5/18/2014,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,To Bat,Normal,0,Kolkata Knight Riders,0,7,UT Yadav,"Rajiv Gandhi International Stadium, Uppal",NJ Llong,CK Nandan,Not Avaliable
501,2014,Ahmedabad,5/19/2014,Mumbai Indians,Rajasthan Royals,Mumbai Indians,To Bat,Normal,0,Mumbai Indians,25,0,MEK Hussey,"Sardar Patel Stadium, Motera",S Ravi,RJ Tucker,Not Avaliable
502,2014,Delhi,5/19/2014,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,To Field,Normal,0,Kings XI Punjab,0,4,AR Patel,Feroz Shah Kotla,HDPK Dharmasena,PG Pathak,Not Avaliable
503,2014,Hyderabad,5/20/2014,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,To Bat,Normal,0,Sunrisers Hyderabad,0,7,David Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,NJ Llong,Not Avaliable
504,2014,Kolkata,5/20/2014,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,To Field,Normal,0,Kolkata Knight Riders,0,8,RV Uthappa,Eden Gardens,RM Deshpande,C Shamshuddin,Not Avaliable
505,2014,Chandigarh,5/21/2014,Kings XI Punjab,Mumbai Indians,Mumbai Indians,To Field,Normal,0,Mumbai Indians,0,7,LMP Simmons,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,VA Kulkarni,Not Avaliable
506,2014,Kolkata,5/22/2014,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,To Field,Normal,0,Kolkata Knight Riders,30,0,RV Uthappa,Eden Gardens,AK Chaudhary,CK Nandan,Not Avaliable
507,2014,Ranchi,5/22/2014,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,To Field,Normal,0,Sunrisers Hyderabad,0,6,David Warner,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,Not Avaliable
508,2014,Mumbai,5/23/2014,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,To Field,Normal,0,Mumbai Indians,15,0,MEK Hussey,Wankhede Stadium,S Ravi,RJ Tucker,Not Avaliable
509,2014,Chandigarh,5/23/2014,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,To Field,Normal,0,Kings XI Punjab,16,0,SE Marsh,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,PG Pathak,Not Avaliable
510,2014,Bangalore,5/24/2014,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,To Field,Normal,0,Chennai Super Kings,0,8,MS Dhoni,M Chinnaswamy Stadium,AK Chaudhary,NJ Llong,Not Avaliable
511,2014,Kolkata,5/24/2014,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,To Field,Normal,0,Kolkata Knight Riders,0,4,Yusuf Pathan,Eden Gardens,RM Deshpande,BNJ Oxenford,Not Avaliable
512,2014,Chandigarh,5/25/2014,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,To Field,Normal,0,Kings XI Punjab,0,7,M Vohra,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,VA Kulkarni,Not Avaliable
513,2014,Mumbai,5/25/2014,Rajasthan Royals,Mumbai Indians,Mumbai Indians,To Field,Normal,0,Mumbai Indians,0,5,CJ Anderson,Wankhede Stadium,K Srinath,RJ Tucker,Not Avaliable
514,2014,Kolkata,5/27/2014,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,To Field,Normal,0,Kolkata Knight Riders,28,0,UT Yadav,Eden Gardens,NJ Llong,S Ravi,Not Avaliable
515,2014,Mumbai,5/28/2014,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,To Field,Normal,0,Chennai Super Kings,0,7,Suresh Raina,Brabourne Stadium,VA Kulkarni,BNJ Oxenford,Not Avaliable
516,2014,Mumbai,5/30/2014,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,To Field,Normal,0,Kings XI Punjab,24,0,V Sehwag,Wankhede Stadium,HDPK Dharmasena,RJ Tucker,Not Avaliable
517,2014,Bangalore,6/1/2014,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,To Field,Normal,0,Kolkata Knight Riders,0,3,MK Pandey,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford,Not Avaliable
518,2015,Kolkata,4/8/2015,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,To Field,Normal,0,Kolkata Knight Riders,0,7,M Morkel,Eden Gardens,S Ravi,C Shamshuddin,Not Avaliable
519,2015,Chennai,4/9/2015,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,To Field,Normal,0,Chennai Super Kings,1,0,A Nehra,"MA Chidambaram Stadium, Chepauk",RK Illingworth,VA Kulkarni,Not Avaliable
520,2015,Pune,4/10/2015,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,To Field,Normal,0,Rajasthan Royals,26,0,JP Faulkner,Maharashtra Cricket Association Stadium,SD Fry,CB Gaffaney,Not Avaliable
521,2015,Chennai,4/11/2015,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,To Bat,Normal,0,Chennai Super Kings,45,0,BB McCullum,"MA Chidambaram Stadium, Chepauk",RK Illingworth,VA Kulkarni,Not Avaliable
522,2015,Kolkata,4/11/2015,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,To Field,Normal,0,Royal Challengers Bangalore,0,3,Chris Gayle,Eden Gardens,S Ravi,C Shamshuddin,Not Avaliable
523,2015,Delhi,4/12/2015,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,To Field,Normal,0,Rajasthan Royals,0,3,DJ Hooda,Feroz Shah Kotla,SD Fry,CB Gaffaney,Not Avaliable
524,2015,Mumbai,4/12/2015,Kings XI Punjab,Mumbai Indians,Mumbai Indians,To Field,Normal,0,Kings XI Punjab,18,0,GJ Bailey,Wankhede Stadium,AK Chaudhary,K Srinivasan,Not Avaliable
525,2015,Bangalore,4/13/2015,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,To Field,Normal,0,Sunrisers Hyderabad,0,8,David Warner,M Chinnaswamy Stadium,RM Deshpande,RK Illingworth,Not Avaliable
526,2015,Ahmedabad,4/14/2015,Mumbai Indians,Rajasthan Royals,Mumbai Indians,To Bat,Normal,0,Rajasthan Royals,0,7,SPD Smith,"Sardar Patel Stadium, Motera",AK Chaudhary,SD Fry,Not Avaliable
527,2015,Kolkata,4/30/2015,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,To Field,Normal,0,Kolkata Knight Riders,0,7,AD Russell,Eden Gardens,AK Chaudhary,M Erasmus,Not Avaliable
528,2015,Pune,4/15/2015,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,To Bat,Normal,0,Delhi Daredevils,0,5,MA Agarwal,Maharashtra Cricket Association Stadium,CB Gaffaney,K Srinath,Not Avaliable
529,2015,Visakhapatnam,4/16/2015,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,To Field,Normal,0,Rajasthan Royals,0,6,Ajinkya Rahane,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,PG Pathak,S Ravi,Not Avaliable
530,2015,Mumbai,4/17/2015,Mumbai Indians,Chennai Super Kings,Mumbai Indians,To Bat,Normal,0,Chennai Super Kings,0,6,A Nehra,Wankhede Stadium,AK Chaudhary,M Erasmus,Not Avaliable
531,2015,Visakhapatnam,4/18/2015,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,To Bat,Normal,0,Delhi Daredevils,4,0,JP Duminy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,PG Pathak,S Ravi,Not Avaliable
532,2015,Pune,4/18/2015,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,To Field,Normal,0,Kolkata Knight Riders,0,4,AD Russell,Maharashtra Cricket Association Stadium,SD Fry,CK Nandan,Not Avaliable
533,2015,Ahmedabad,4/19/2015,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,To Bat,Normal,0,Rajasthan Royals,0,8,Ajinkya Rahane,"Sardar Patel Stadium, Motera",AK Chaudhary,M Erasmus,Not Avaliable
534,2015,Bangalore,4/19/2015,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,To Field,Normal,0,Mumbai Indians,18,0,Harbhajan Singh,M Chinnaswamy Stadium,RK Illingworth,VA Kulkarni,Not Avaliable
535,2015,Delhi,4/20/2015,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,To Field,Normal,0,Kolkata Knight Riders,0,6,UT Yadav,Feroz Shah Kotla,SD Fry,CB Gaffaney,Not Avaliable
536,2015,Ahmedabad,4/21/2015,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,To Field,Tie,0,Kings XI Punjab,0,0,SE Marsh,"Sardar Patel Stadium, Motera",M Erasmus,S Ravi,Not Avaliable
537,2015,Visakhapatnam,4/22/2015,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,To Field,Normal,1,Sunrisers Hyderabad,16,0,David Warner,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,RK Illingworth,VA Kulkarni,Not Avaliable
538,2015,Bangalore,4/22/2015,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,To Field,Normal,0,Chennai Super Kings,27,0,Suresh Raina,M Chinnaswamy Stadium,JD Cloete,C Shamshuddin,Not Avaliable
539,2015,Delhi,4/23/2015,Delhi Daredevils,Mumbai Indians,Mumbai Indians,To Field,Normal,0,Delhi Daredevils,37,0,SS Iyer,Feroz Shah Kotla,SD Fry,CK Nandan,Not Avaliable
540,2015,Ahmedabad,4/24/2015,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,To Field,Normal,0,Royal Challengers Bangalore,0,9,MA Starc,"Sardar Patel Stadium, Motera",M Erasmus,S Ravi,Not Avaliable
541,2015,Mumbai,4/25/2015,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,To Bat,Normal,0,Mumbai Indians,20,0,SL Malinga,Wankhede Stadium,HDPK Dharmasena,CB Gaffaney,Not Avaliable
542,2015,Chennai,4/25/2015,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,To Bat,Normal,0,Chennai Super Kings,97,0,BB McCullum,"MA Chidambaram Stadium, Chepauk",JD Cloete,C Shamshuddin,Not Avaliable
543,2015,Delhi,4/26/2015,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,To Field,Normal,0,Royal Challengers Bangalore,0,10,VR Aaron,Feroz Shah Kotla,M Erasmus,S Ravi,Not Avaliable
544,2015,Chandigarh,4/27/2015,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,To Field,Normal,0,Sunrisers Hyderabad,20,0,TA Boult,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,CB Gaffaney,Not Avaliable
545,2015,Kolkata,5/7/2015,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,To Bat,Normal,0,Kolkata Knight Riders,13,0,PP Chawla,Eden Gardens,AK Chaudhary,M Erasmus,Not Avaliable
546,2015,Bangalore,4/29/2015,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,To Field,Normal,0,Rajasthan Royals,0,0,Ajinkya Rahane,M Chinnaswamy Stadium,JD Cloete,PG Pathak,Not Avaliable
547,2015,Chennai,4/28/2015,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,To Field,Normal,0,Chennai Super Kings,2,0,DJ Bravo,"MA Chidambaram Stadium, Chepauk",RM Deshpande,VA Kulkarni,Not Avaliable
548,2015,Delhi,5/1/2015,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,To Field,Normal,0,Delhi Daredevils,0,9,NM Coulter-Nile,Feroz Shah Kotla,RK Illingworth,S Ravi,Not Avaliable
549,2015,Mumbai,5/1/2015,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,To Field,Normal,0,Mumbai Indians,8,0,AT Rayudu,Wankhede Stadium,HDPK Dharmasena,CK Nandan,Not Avaliable
550,2015,Bangalore,5/2/2015,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,To Field,Normal,0,Royal Challengers Bangalore,0,7,Mandeep Singh,M Chinnaswamy Stadium,JD Cloete,PG Pathak,Not Avaliable
551,2015,Hyderabad,5/2/2015,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,To Field,Normal,0,Sunrisers Hyderabad,22,0,David Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,K Srinivasan,Not Avaliable
552,2015,Chandigarh,5/3/2015,Mumbai Indians,Kings XI Punjab,Mumbai Indians,To Bat,Normal,0,Mumbai Indians,23,0,LMP Simmons,"Punjab Cricket Association Stadium, Mohali",RK Illingworth,VA Kulkarni,Not Avaliable
553,2015,Mumbai,5/3/2015,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,To Field,Normal,0,Rajasthan Royals,14,0,Ajinkya Rahane,Brabourne Stadium,HDPK Dharmasena,CB Gaffaney,Not Avaliable
554,2015,Chennai,5/4/2015,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,To Bat,Normal,0,Chennai Super Kings,24,0,Suresh Raina,"MA Chidambaram Stadium, Chepauk",C Shamshuddin,K Srinath,Not Avaliable
555,2015,Kolkata,5/4/2015,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,To Field,Normal,0,Kolkata Knight Riders,35,0,UT Yadav,Eden Gardens,AK Chaudhary,M Erasmus,Not Avaliable
556,2015,Mumbai,5/5/2015,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,To Bat,Normal,0,Mumbai Indians,0,5,Harbhajan Singh,Wankhede Stadium,HDPK Dharmasena,CB Gaffaney,Not Avaliable
557,2015,Bangalore,5/6/2015,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,To Field,Normal,0,Royal Challengers Bangalore,138,0,Chris Gayle,M Chinnaswamy Stadium,RK Illingworth,VA Kulkarni,Not Avaliable
558,2015,Mumbai,5/7/2015,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,To Field,Normal,0,Sunrisers Hyderabad,7,0,EJG Morgan,Brabourne Stadium,JD Cloete,C Shamshuddin,Not Avaliable
559,2015,Chennai,5/8/2015,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,To Bat,Normal,0,Mumbai Indians,0,6,HH Pandya,"MA Chidambaram Stadium, Chepauk",CB Gaffaney,CK Nandan,Not Avaliable
560,2015,Kolkata,5/9/2015,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,To Bat,Normal,0,Kolkata Knight Riders,0,1,AD Russell,Eden Gardens,AK Chaudhary,HDPK Dharmasena,Not Avaliable
561,2015,Raipur,5/9/2015,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,To Bat,Normal,0,Sunrisers Hyderabad,6,0,MC Henriques,Shaheed Veer Narayan Singh International Stadium,VA Kulkarni,S Ravi,Not Avaliable
562,2015,Mumbai,5/10/2015,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,To Bat,Normal,0,Royal Challengers Bangalore,39,0,AB de Villiers,Wankhede Stadium,JD Cloete,C Shamshuddin,Not Avaliable
563,2015,Chennai,5/10/2015,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,To Bat,Normal,0,Chennai Super Kings,12,0,RA Jadeja,"MA Chidambaram Stadium, Chepauk",M Erasmus,CK Nandan,Not Avaliable
564,2015,Hyderabad,5/11/2015,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,To Bat,Normal,0,Sunrisers Hyderabad,5,0,David Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,HDPK Dharmasena,Not Avaliable
565,2015,Raipur,5/12/2015,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,To Bat,Normal,0,Delhi Daredevils,0,6,Z Khan,Shaheed Veer Narayan Singh International Stadium,RK Illingworth,VA Kulkarni,Not Avaliable
566,2015,Chandigarh,5/13/2015,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,To Field,Normal,0,Kings XI Punjab,22,0,AR Patel,"Punjab Cricket Association Stadium, Mohali",JD Cloete,C Shamshuddin,Not Avaliable
567,2015,Mumbai,5/14/2015,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,To Field,Normal,0,Mumbai Indians,5,0,HH Pandya,Wankhede Stadium,RK Illingworth,VA Kulkarni,Not Avaliable
568,2015,Hyderabad,5/15/2015,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,To Bat,Normal,1,Royal Challengers Bangalore,0,6,V Kohli,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,HDPK Dharmasena,Not Avaliable
569,2015,Chandigarh,5/16/2015,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,To Bat,Normal,0,Chennai Super Kings,0,7,P Negi,"Punjab Cricket Association Stadium, Mohali",CK Nandan,C Shamshuddin,Not Avaliable
570,2015,Mumbai,5/16/2015,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,To Bat,Normal,0,Rajasthan Royals,9,0,Shane Watson,Brabourne Stadium,RM Deshpande,RK Illingworth,Not Avaliable
571,2015,Bangalore,5/17/2015,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,To Field,Normal,0,Delhi Daredevils,0,0,Z Khan,M Chinnaswamy Stadium,HDPK Dharmasena,K Srinivasan,Not Avaliable
572,2015,Hyderabad,5/17/2015,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,To Bat,Normal,0,Mumbai Indians,0,9,MJ McClenaghan,"Rajiv Gandhi International Stadium, Uppal",CB Gaffaney,K Srinath,Not Avaliable
573,2015,Mumbai,5/19/2015,Mumbai Indians,Chennai Super Kings,Mumbai Indians,To Bat,Normal,0,Mumbai Indians,25,0,KA Pollard,Wankhede Stadium,HDPK Dharmasena,RK Illingworth,Not Avaliable
574,2015,Pune,5/20/2015,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,To Bat,Normal,0,Royal Challengers Bangalore,71,0,AB de Villiers,Maharashtra Cricket Association Stadium,AK Chaudhary,C Shamshuddin,Not Avaliable
575,2015,Ranchi,5/22/2015,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,To Field,Normal,0,Chennai Super Kings,0,3,A Nehra,JSCA International Stadium Complex,AK Chaudhary,CB Gaffaney,Not Avaliable
576,2015,Kolkata,5/24/2015,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,To Field,Normal,0,Mumbai Indians,41,0,Rohit Sharma,Eden Gardens,HDPK Dharmasena,RK Illingworth,Not Avaliable
577,2016,Mumbai,4/9/2016,Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,To Bat,Normal,0,Rising Pune Supergiants,0,9,Ajinkya Rahane,Wankhede Stadium,HDPK Dharmasena,CK Nandan,Not Avaliable
578,2016,Kolkata,4/10/2016,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,To Field,Normal,0,Kolkata Knight Riders,0,9,AD Russell,Eden Gardens,S Ravi,C Shamshuddin,Not Avaliable
579,2016,Chandigarh,4/11/2016,Kings XI Punjab,Gujarat Lions,Gujarat Lions,To Field,Normal,0,Gujarat Lions,0,5,AJ Finch,"Punjab Cricket Association IS Bindra Stadium, Mohali",AK Chaudhary,VA Kulkarni,Not Avaliable
580,2016,Bangalore,4/12/2016,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,To Field,Normal,0,Royal Challengers Bangalore,45,0,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,VK Sharma,Not Avaliable
581,2016,Kolkata,4/13/2016,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,To Field,Normal,0,Mumbai Indians,0,6,Rohit Sharma,Eden Gardens,Nitin Menon,S Ravi,Not Avaliable
582,2016,Rajkot,4/14/2016,Rising Pune Supergiants,Gujarat Lions,Rising Pune Supergiants,To Bat,Normal,0,Gujarat Lions,0,7,AJ Finch,Saurashtra Cricket Association Stadium,VA Kulkarni,CK Nandan,Not Avaliable
583,2016,Delhi,4/15/2016,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,To Field,Normal,0,Delhi Daredevils,0,8,A Mishra,Feroz Shah Kotla,S Ravi,C Shamshuddin,Not Avaliable
584,2016,Hyderabad,4/16/2016,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,To Bat,Normal,0,Kolkata Knight Riders,0,8,Goutam Gambhir,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,CK Nandan,Not Avaliable
585,2016,Mumbai,4/16/2016,Mumbai Indians,Gujarat Lions,Gujarat Lions,To Field,Normal,0,Gujarat Lions,0,3,AJ Finch,Wankhede Stadium,HDPK Dharmasena,VK Sharma,Not Avaliable
586,2016,Chandigarh,4/17/2016,Rising Pune Supergiants,Kings XI Punjab,Rising Pune Supergiants,To Bat,Normal,0,Kings XI Punjab,0,6,M Vohra,"Punjab Cricket Association IS Bindra Stadium, Mohali",S Ravi,C Shamshuddin,Not Avaliable
587,2016,Bangalore,4/17/2016,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,To Field,Normal,0,Delhi Daredevils,0,7,Q de Kock,M Chinnaswamy Stadium,VA Kulkarni,A Nand Kishore,Not Avaliable
588,2016,Hyderabad,4/18/2016,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,To Field,Normal,0,Sunrisers Hyderabad,0,7,David Warner,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,VK Sharma,Not Avaliable
589,2016,Chandigarh,4/19/2016,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,To Field,Normal,0,Kolkata Knight Riders,0,6,RV Uthappa,"Punjab Cricket Association IS Bindra Stadium, Mohali",S Ravi,C Shamshuddin,Not Avaliable
590,2016,Mumbai,4/20/2016,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,To Field,Normal,0,Mumbai Indians,0,6,Rohit Sharma,Wankhede Stadium,AK Chaudhary,CK Nandan,Not Avaliable
591,2016,Rajkot,4/21/2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,To Field,Normal,0,Sunrisers Hyderabad,0,10,B Kumar,Saurashtra Cricket Association Stadium,K Bharatan,HDPK Dharmasena,Not Avaliable
592,2016,Pune,4/22/2016,Royal Challengers Bangalore,Rising Pune Supergiants,Rising Pune Supergiants,To Field,Normal,0,Royal Challengers Bangalore,13,0,AB de Villiers,Maharashtra Cricket Association Stadium,CB Gaffaney,VK Sharma,Not Avaliable
